Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,CURRENT_AGE,TOTAL_CONDITIONS,TOTAL_ENCOUNTER,ASTHMA_REASON_ENCOUNTER,SYMPTOM_ENCOUNTER,EMERGENCY_ENCOUNTER,URGENT_CARE_ENCOUNTER,ASTHMA_FU_ENCOUNTER,Measurement_avg pm25_2017,Measurement_avg pm25_2018,Measurement_avg pm25_2019,Measurement_avg pm25_2020,Measurement_avg pm25_2021,Measurement_avg pm25_2022,Measurement_avg pm25_2023,Measurement_avg pm25_2024,IS_SEVERE,HIGH_POLLUTION
2e88d207-95b7-2ea8-ea61-b9f843bdfa91,2013-12-28,,999-39-2671,,,,Lucio648,Murazik203,,,,white,nonhispanic,M,Quincy  Massachusetts  US,141 Olson Forge Suite 46,Oxford,Massachusetts,Worcester County,25027.0,1540,42.095155434839526,-71.90425314963035,4657.98,23106.82,10359,10.0,8,41,4,10,1.0,3.0,3.0,9.705,8.905,7.905,7.305000000000001,8.205,7.405,7.505,6.505,False,False
14012fd6-f062-1317-93aa-12aa96fd5f70,2015-01-17,,999-79-6351,,,,Freddie621,Murphy561,,,,white,nonhispanic,F,Boston  Massachusetts  US,511 Schulist Highlands Suite 17,Petersham,Massachusetts,Worcester County,25027.0,1366,42.44032810045709,-72.22986405606348,32594.83,1207.52,792644,9.0,5,53,7,11,4.0,4.0,4.0,10.15,9.75,8.85,8.25,8.85,8.35,8.35,8.05,True,True
b43d2265-faaa-2f31-063e-0c7853c38d42,2014-10-22,,999-48-1809,,,,Antwan357,Bashirian201,,,,white,nonhispanic,M,Wareham Center  Massachusetts  US,898 Terry Annex Unit 38,East Bridgewater,Massachusetts,Plymouth County,,0,42.041715905311335,-70.97287877877372,11199.66,4704.96,62018,10.0,2,29,6,3,,,5.0,10.97,9.77,8.97,8.47,9.07,8.37,8.07,7.07,True,True
0fb829c8-debb-2e40-4597-675402fae580,2018-07-17,,999-41-5688,,,,Franklyn361,Welch179,,,,white,nonhispanic,M,Cambridge  Massachusetts  US,665 Strosin Path Suite 83,Milton,Massachusetts,Norfolk County,25021.0,2186,42.2174233631454,-71.07339813682448,22108.33,1733.48,151475,6.0,6,30,1,8,,2.0,,10.895454545454545,9.595454545454544,8.795454545454547,8.395454545454545,8.895454545454545,7.995454545454545,7.695454545454544,6.295454545454545,False,False
4316ed86-2f29-2c3c-7027-954353ffe0be,2017-03-31,,999-89-8570,,,,Steven797,Braun514,,,,white,nonhispanic,M,Amherst  Massachusetts  US,387 Trantow Street,Reading,Massachusetts,Middlesex County,25017.0,1801,42.51932261519663,-71.11517255759851,1980.0,19516.05,14071,7.0,7,31,1,8,,2.0,,10.02142857142857,8.821428571428571,7.921428571428571,7.421428571428571,8.221428571428572,7.421428571428571,7.0214285714285705,6.121428571428572,False,False
eaacf4e7-37a7-01fe-0257-1bfcf9f39cd8,2016-03-29,,999-84-9227,,,,Kristen940,Gerlach374,,,,white,nonhispanic,F,Duxbury  Massachusetts  US,943 Strosin Mews Apt 81,Framingham,Massachusetts,Middlesex County,25017.0,1701,42.32646020237912,-71.43180829123983,3750.0,23060.26,11199,8.0,11,40,5,9,1.0,4.0,4.0,11.332122564935064,10.332122564935064,9.432122564935066,8.832122564935064,9.632122564935065,8.932122564935066,8.732122564935064,7.832122564935065,True,True
997aa3a1-2bb5-8280-d4bf-dffe0e3f6709,2015-09-10,,999-71-4458,,,,Bess947,Bednar518,,,,white,nonhispanic,F,Agawam  Massachusetts  US,581 Sporer Port Apt 60,Lynn,Massachusetts,Essex County,25009.0,1905,42.51410231691953,-71.01515849593517,9869.0,8881.99,62821,9.0,6,33,4,4,,3.0,3.0,11.278053977272728,10.178053977272729,9.378053977272728,8.978053977272726,9.578053977272727,8.778053977272727,8.478053977272726,7.378053977272727,False,True
17786c00-6e24-bf52-85f2-0448d275dd90,2016-07-03,,999-41-8990,,,,Beatriz277,Lomeli256,,,,white,hispanic,F,Marigot  Saint Andrew Parish  DM,1079 Mueller Flat Unit 29,Northbridge,Massachusetts,Worcester County,,0,42.08457246255593,-71.65076878616394,16463.29,88.96,44603,8.0,4,27,6,3,,,3.0,10.765625,9.965625,8.965625,8.465625,9.365625,8.465625,8.565625,7.565625,True,True
8a80a502-5ca2-bdaf-47a1-764480da4033,2014-01-11,,999-52-3347,,,,Stanton715,Gleason633,,,,white,nonhispanic,M,Dracut  Massachusetts  US,923 Bednar Gardens,Westborough,Massachusetts,Worcester County,25027.0,1581,42.31335453654249,-71.62697372471989,23466.67,1273.07,101794,10.0,6,28,6,3,1.0,1.0,5.0,10.926285714285717,10.026285714285716,9.026285714285716,8.426285714285715,9.326285714285714,8.626285714285714,8.526285714285715,7.726285714285714,True,True
2dd518c6-2d23-81a2-69a5-a84476ae46ef,2013-04-11,,999-34-9761,,,,Fred155,Ortiz186,,,,white,nonhispanic,F,Boston  Massachusetts  US,595 Ferry Track,Fitchburg,Massachusetts,Worcester County,25027.0,1420,42.55804420393442,-71.77769952220832,26559.2,20275.4,26454,11.0,5,37,6,7,3.0,2.0,5.0,9.968579545454546,9.268579545454545,8.368579545454546,7.868579545454545,8.268579545454545,7.868579545454545,7.768579545454545,7.468579545454546,True,False
76f8a893-e0bd-23ce-b4dc-e67eecd34812,2012-03-09,,999-98-6910,,,,Kevin729,Cremin516,,,,white,nonhispanic,M,Sheffield  Massachusetts  US,590 Glover Frontage road,Belchertown,Massachusetts,Hampshire County,25015.0,1007,42.32527000756397,-72.39971725634896,9040.4,26290.73,73024,12.0,6,33,5,5,1.0,4.0,3.0,9.76875,9.06875,7.96875,7.36875,8.46875,7.668749999999999,7.56875,7.06875,True,False
9345f503-2db3-92b7-dd8d-be51c94677ba,2015-12-28,,999-90-4285,,,,Kathleen516,Brakus656,,,,white,nonhispanic,F,Maynard  Massachusetts  US,635 Reinger Terrace,Boston,Massachusetts,Suffolk County,25025.0,2130,42.326800680193855,-71.06990409899738,2497.74,13565.89,23338,8.0,5,30,7,7,,,5.0,11.911481910946195,10.511481910946197,9.711481910946196,9.311481910946195,9.911481910946195,8.911481910946197,8.611481910946196,7.311481910946196,True,True
